[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch=0, Iter=3200/6512] loss = 2.7740 (3.3686); frame0_box_l1_loss = 0.0123 (0.0132); frame0_box_giou_loss = 0.1252 (0.1370); frame0_label_focal_loss = 0.0222 (0.0470); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0134 (0.0151); frame1_box_giou_loss = 0.1253 (0.1444); frame1_label_focal_loss = 0.0262 (0.0461); frame1_bio_motion_loss = 0.0006 (0.0010); 
[Epoch=0, Iter=3300/6512] loss = 2.7991 (3.3513); frame0_box_l1_loss = 0.0113 (0.0131); frame0_box_giou_loss = 0.1249 (0.1367); frame0_label_focal_loss = 0.0242 (0.0464); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0125 (0.0151); frame1_box_giou_loss = 0.1261 (0.1439); frame1_label_focal_loss = 0.0308 (0.0457); frame1_bio_motion_loss = 0.0005 (0.0009); 
[Epoch=0, Iter=3400/6512] loss = 2.7881 (3.3348); frame0_box_l1_loss = 0.0118 (0.0131); frame0_box_giou_loss = 0.1216 (0.1362); frame0_label_focal_loss = 0.0270 (0.0458); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0141 (0.0150); frame1_box_giou_loss = 0.1262 (0.1433); frame1_label_focal_loss = 0.0291 (0.0452); frame1_bio_motion_loss = 0.0006 (0.0009); 
[Epoch=0, Iter=3500/6512] loss = 2.7602 (3.3184); frame0_box_l1_loss = 0.0121 (0.0131); frame0_box_giou_loss = 0.1207 (0.1358); frame0_label_focal_loss = 0.0232 (0.0451); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0145 (0.0150); frame1_box_giou_loss = 0.1279 (0.1429); frame1_label_focal_loss = 0.0275 (0.0447); frame1_bio_motion_loss = 0.0007 (0.0009); 
[Epoch=0, Iter=3600/6512] loss = 2.7953 (3.3038); frame0_box_l1_loss = 0.0116 (0.0130); frame0_box_giou_loss = 0.1274 (0.1355); frame0_label_focal_loss = 0.0218 (0.0445); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0133 (0.0150); frame1_box_giou_loss = 0.1326 (0.1426); frame1_label_focal_loss = 0.0279 (0.0442); frame1_bio_motion_loss = 0.0006 (0.0009); 
[Epoch=0, Iter=3700/6512] loss = 2.8396 (3.2913); frame0_box_l1_loss = 0.0127 (0.0130); frame0_box_giou_loss = 0.1244 (0.1352); frame0_label_focal_loss = 0.0223 (0.0439); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0138 (0.0149); frame1_box_giou_loss = 0.1340 (0.1424); frame1_label_focal_loss = 0.0300 (0.0438); frame1_bio_motion_loss = 0.0008 (0.0009); 
[Epoch=0, Iter=3800/6512] loss = 2.4632 (3.2695); frame0_box_l1_loss = 0.0099 (0.0129); frame0_box_giou_loss = 0.1128 (0.1346); frame0_label_focal_loss = 0.0163 (0.0432); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0111 (0.0148); frame1_box_giou_loss = 0.1221 (0.1419); frame1_label_focal_loss = 0.0195 (0.0432); frame1_bio_motion_loss = 0.0005 (0.0009); 
[Epoch=0, Iter=3900/6512] loss = 2.4699 (3.2490); frame0_box_l1_loss = 0.0103 (0.0129); frame0_box_giou_loss = 0.1142 (0.1341); frame0_label_focal_loss = 0.0176 (0.0425); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0101 (0.0147); frame1_box_giou_loss = 0.1144 (0.1412); frame1_label_focal_loss = 0.0188 (0.0426); frame1_bio_motion_loss = 0.0002 (0.0009); 
[Epoch=0, Iter=4000/6512] loss = 2.5040 (3.2304); frame0_box_l1_loss = 0.0103 (0.0128); frame0_box_giou_loss = 0.1166 (0.1337); frame0_label_focal_loss = 0.0172 (0.0419); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0108 (0.0146); frame1_box_giou_loss = 0.1200 (0.1406); frame1_label_focal_loss = 0.0188 (0.0420); frame1_bio_motion_loss = 0.0004 (0.0009); 
[Epoch=0, Iter=4100/6512] loss = 2.6758 (3.2169); frame0_box_l1_loss = 0.0113 (0.0128); frame0_box_giou_loss = 0.1246 (0.1335); frame0_label_focal_loss = 0.0196 (0.0413); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0122 (0.0145); frame1_box_giou_loss = 0.1318 (0.1404); frame1_label_focal_loss = 0.0227 (0.0415); frame1_bio_motion_loss = 0.0007 (0.0009); 
